"Year","Name","Area_code","Type","Age","Population"
2020,"Darlington","E06000005","Unitary Authority","All Ages",107402
2020,"Darlington","E06000005","Unitary Authority","Aged 65+",22131
2020,"County Durham","E06000047","Unitary Authority","All Ages",533149
2020,"County Durham","E06000047","Unitary Authority","Aged 65+",111582
2020,"Hartlepool","E06000001","Unitary Authority","All Ages",93836
2020,"Hartlepool","E06000001","Unitary Authority","Aged 65+",18371
2020,"Middlesbrough","E06000002","Unitary Authority","All Ages",141285
2020,"Middlesbrough","E06000002","Unitary Authority","Aged 65+",23214
2020,"Northumberland","E06000057","Unitary Authority","All Ages",323820
2020,"Northumberland","E06000057","Unitary Authority","Aged 65+",81368
2020,"Redcar and Cleveland","E06000003","Unitary Authority","All Ages",137228
2020,"Redcar and Cleveland","E06000003","Unitary Authority","Aged 65+",31288
2020,"Stockton-on-Tees","E06000004","Unitary Authority","All Ages",197419
2020,"Stockton-on-Tees","E06000004","Unitary Authority","Aged 65+",36948
2020,"Gateshead","E08000037","Unitary Authority","All Ages",201950
2020,"Gateshead","E08000037","Unitary Authority","Aged 65+",39903
2020,"Newcastle upon Tyne","E08000021","Unitary Authority","All Ages",306824
2020,"Newcastle upon Tyne","E08000021","Unitary Authority","Aged 65+",44154
2020,"North Tyneside","E08000022","Unitary Authority","All Ages",208871
2020,"North Tyneside","E08000022","Unitary Authority","Aged 65+",42649
2020,"South Tyneside","E08000023","Unitary Authority","All Ages",151133
2020,"South Tyneside","E08000023","Unitary Authority","Aged 65+",30814
2020,"Sunderland","E08000024","Unitary Authority","All Ages",277846
2020,"Sunderland","E08000024","Unitary Authority","Aged 65+",55209
2020,"Blackburn with Darwen","E06000008","Unitary Authority","All Ages",150030
2020,"Blackburn with Darwen","E06000008","Unitary Authority","Aged 65+",21986
2020,"Blackpool","E06000009","Unitary Authority","All Ages",138381
2020,"Blackpool","E06000009","Unitary Authority","Aged 65+",28433
2020,"Cheshire East","E06000049","Unitary Authority","All Ages",386667
2020,"Cheshire East","E06000049","Unitary Authority","Aged 65+",89148
2020,"Cheshire West and Chester","E06000050","Unitary Authority","All Ages",343823
2020,"Cheshire West and Chester","E06000050","Unitary Authority","Aged 65+",74915
2020,"Halton","E06000006","Unitary Authority","All Ages",129759
2020,"Halton","E06000006","Unitary Authority","Aged 65+",24105
2020,"Warrington","E06000007","Unitary Authority","All Ages",209397
2020,"Warrington","E06000007","Unitary Authority","Aged 65+",40052
2020,"Cumbria","E10000006","Upper Tier Local Authority","All Ages",499781
2020,"Cumbria","E10000006","Upper Tier Local Authority","Aged 65+",123422
2020,"Bolton","E08000001","Unitary Authority","All Ages",288248
2020,"Bolton","E08000001","Unitary Authority","Aged 65+",50056
2020,"Bury","E08000002","Unitary Authority","All Ages",190708
2020,"Bury","E08000002","Unitary Authority","Aged 65+",35054
2020,"Manchester","E08000003","Unitary Authority","All Ages",555741
2020,"Manchester","E08000003","Unitary Authority","Aged 65+",51557
2020,"Oldham","E08000004","Unitary Authority","All Ages",237628
2020,"Oldham","E08000004","Unitary Authority","Aged 65+",38417
2020,"Rochdale","E08000005","Unitary Authority","All Ages",223659
2020,"Rochdale","E08000005","Unitary Authority","Aged 65+",36927
2020,"Salford","E08000006","Unitary Authority","All Ages",262697
2020,"Salford","E08000006","Unitary Authority","Aged 65+",36625
2020,"Stockport","E08000007","Unitary Authority","All Ages",294197
2020,"Stockport","E08000007","Unitary Authority","Aged 65+",58933
2020,"Tameside","E08000008","Unitary Authority","All Ages",227117
2020,"Tameside","E08000008","Unitary Authority","Aged 65+",39976
2020,"Trafford","E08000009","Unitary Authority","All Ages",237579
2020,"Trafford","E08000009","Unitary Authority","Aged 65+",41443
2020,"Wigan","E08000010","Unitary Authority","All Ages",330712
2020,"Wigan","E08000010","Unitary Authority","Aged 65+",63420
2020,"Lancashire","E10000017","Upper Tier Local Authority","All Ages",1227076
2020,"Lancashire","E10000017","Upper Tier Local Authority","Aged 65+",255637
2020,"Knowsley","E08000011","Unitary Authority","All Ages",152452
2020,"Knowsley","E08000011","Unitary Authority","Aged 65+",26419
2020,"Liverpool","E08000012","Unitary Authority","All Ages",500474
2020,"Liverpool","E08000012","Unitary Authority","Aged 65+",73799
2020,"Sefton","E08000014","Unitary Authority","All Ages",275899
2020,"Sefton","E08000014","Unitary Authority","Aged 65+",65463
2020,"St. Helens","E08000013","Unitary Authority","All Ages",181095
2020,"St. Helens","E08000013","Unitary Authority","Aged 65+",37320
2020,"Wirral","E08000015","Unitary Authority","All Ages",324336
2020,"Wirral","E08000015","Unitary Authority","Aged 65+",71289
2020,"East Riding of Yorkshire","E06000011","Unitary Authority","All Ages",343201
2020,"East Riding of Yorkshire","E06000011","Unitary Authority","Aged 65+",90631
2020,"Kingston upon Hull, City of","E06000010","Unitary Authority","All Ages",259126
2020,"Kingston upon Hull, City of","E06000010","Unitary Authority","Aged 65+",39437
2020,"North East Lincolnshire","E06000012","Unitary Authority","All Ages",159364
2020,"North East Lincolnshire","E06000012","Unitary Authority","Aged 65+",33258
2020,"North Lincolnshire","E06000013","Unitary Authority","All Ages",172748
2020,"North Lincolnshire","E06000013","Unitary Authority","Aged 65+",37294
2020,"York","E06000014","Unitary Authority","All Ages",211012
2020,"York","E06000014","Unitary Authority","Aged 65+",38874
2020,"North Yorkshire","E10000023","Upper Tier Local Authority","All Ages",620610
2020,"North Yorkshire","E10000023","Upper Tier Local Authority","Aged 65+",154958
2020,"Barnsley","E08000016","Unitary Authority","All Ages",248071
2020,"Barnsley","E08000016","Unitary Authority","Aged 65+",48660
2020,"Doncaster","E08000017","Unitary Authority","All Ages",312785
2020,"Doncaster","E08000017","Unitary Authority","Aged 65+",60324
2020,"Rotherham","E08000018","Unitary Authority","All Ages",264984
2020,"Rotherham","E08000018","Unitary Authority","Aged 65+",52388
2020,"Sheffield","E08000019","Unitary Authority","All Ages",589214
2020,"Sheffield","E08000019","Unitary Authority","Aged 65+",94714
2020,"Bradford","E08000032","Unitary Authority","All Ages",542128
2020,"Bradford","E08000032","Unitary Authority","Aged 65+",81814
2020,"Calderdale","E08000033","Unitary Authority","All Ages",211439
2020,"Calderdale","E08000033","Unitary Authority","Aged 65+",40223
2020,"Kirklees","E08000034","Unitary Authority","All Ages",441290
2020,"Kirklees","E08000034","Unitary Authority","Aged 65+",78994
2020,"Leeds","E08000035","Unitary Authority","All Ages",798786
2020,"Leeds","E08000035","Unitary Authority","Aged 65+",123784
2020,"Wakefield","E08000036","Unitary Authority","All Ages",351592
2020,"Wakefield","E08000036","Unitary Authority","Aged 65+",66961
2020,"Derby","E06000015","Unitary Authority","All Ages",256814
2020,"Derby","E06000015","Unitary Authority","Aged 65+",42361
2020,"Leicester","E06000016","Unitary Authority","All Ages",354036
2020,"Leicester","E06000016","Unitary Authority","Aged 65+",43602
2020,"Nottingham","E06000018","Unitary Authority","All Ages",337098
2020,"Nottingham","E06000018","Unitary Authority","Aged 65+",39125
2020,"Rutland","E06000017","Unitary Authority","All Ages",40476
2020,"Rutland","E06000017","Unitary Authority","Aged 65+",10345
2020,"Derbyshire","E10000007","Upper Tier Local Authority","All Ages",807183
2020,"Derbyshire","E10000007","Upper Tier Local Authority","Aged 65+",176969
2020,"Leicestershire","E10000018","Upper Tier Local Authority","All Ages",713085
2020,"Leicestershire","E10000018","Upper Tier Local Authority","Aged 65+",146675
2020,"Lincolnshire","E10000019","Upper Tier Local Authority","All Ages",766333
2020,"Lincolnshire","E10000019","Upper Tier Local Authority","Aged 65+",182278
2020,"Northamptonshire","E10000021","Upper Tier Local Authority","All Ages",757181
2020,"Northamptonshire","E10000021","Upper Tier Local Authority","Aged 65+",138216
2020,"Nottinghamshire","E10000024","Upper Tier Local Authority","All Ages",833377
2020,"Nottinghamshire","E10000024","Upper Tier Local Authority","Aged 65+",175086
2020,"Herefordshire, County of","E06000019","Unitary Authority","All Ages",193615
2020,"Herefordshire, County of","E06000019","Unitary Authority","Aged 65+",48458
2020,"Shropshire","E06000051","Unitary Authority","All Ages",325415
2020,"Shropshire","E06000051","Unitary Authority","Aged 65+",81216
2020,"Stoke-on-Trent","E06000021","Unitary Authority","All Ages",256622
2020,"Stoke-on-Trent","E06000021","Unitary Authority","Aged 65+",44414
2020,"Telford and Wrekin","E06000020","Unitary Authority","All Ages",181322
2020,"Telford and Wrekin","E06000020","Unitary Authority","Aged 65+",31739
2020,"Staffordshire","E10000028","Upper Tier Local Authority","All Ages",883172
2020,"Staffordshire","E10000028","Upper Tier Local Authority","Aged 65+",194191
2020,"Warwickshire","E10000031","Upper Tier Local Authority","All Ages",583786
2020,"Warwickshire","E10000031","Upper Tier Local Authority","Aged 65+",121235
2020,"Birmingham","E08000025","Unitary Authority","All Ages",1140525
2020,"Birmingham","E08000025","Unitary Authority","Aged 65+",149412
2020,"Coventry","E08000026","Unitary Authority","All Ages",379387
2020,"Coventry","E08000026","Unitary Authority","Aged 65+",50463
2020,"Dudley","E08000027","Unitary Authority","All Ages",322363
2020,"Dudley","E08000027","Unitary Authority","Aged 65+",65656
2020,"Sandwell","E08000028","Unitary Authority","All Ages",329042
2020,"Sandwell","E08000028","Unitary Authority","Aged 65+",49298
2020,"Solihull","E08000029","Unitary Authority","All Ages",217487
2020,"Solihull","E08000029","Unitary Authority","Aged 65+",45621
2020,"Walsall","E08000030","Unitary Authority","All Ages",286716
2020,"Walsall","E08000030","Unitary Authority","Aged 65+",50053
2020,"Wolverhampton","E08000031","Unitary Authority","All Ages",264407
2020,"Wolverhampton","E08000031","Unitary Authority","Aged 65+",43806
2020,"Worcestershire","E10000034","Upper Tier Local Authority","All Ages",598070
2020,"Worcestershire","E10000034","Upper Tier Local Authority","Aged 65+",137439
2020,"Bedford","E06000055","Unitary Authority","All Ages",174687
2020,"Bedford","E06000055","Unitary Authority","Aged 65+",31422
2020,"Central Bedfordshire","E06000056","Unitary Authority","All Ages",294096
2020,"Central Bedfordshire","E06000056","Unitary Authority","Aged 65+",52632
2020,"Luton","E06000032","Unitary Authority","All Ages",213528
2020,"Luton","E06000032","Unitary Authority","Aged 65+",26972
2020,"Peterborough","E06000031","Unitary Authority","All Ages",202626
2020,"Peterborough","E06000031","Unitary Authority","Aged 65+",30493
2020,"Southend-on-Sea","E06000033","Unitary Authority","All Ages",182773
2020,"Southend-on-Sea","E06000033","Unitary Authority","Aged 65+",35661
2020,"Thurrock","E06000034","Unitary Authority","All Ages",175531
2020,"Thurrock","E06000034","Unitary Authority","Aged 65+",24098
2020,"Cambridgeshire","E10000003","Upper Tier Local Authority","All Ages",657204
2020,"Cambridgeshire","E10000003","Upper Tier Local Authority","Aged 65+",127322
2020,"Essex","E10000012","Upper Tier Local Authority","All Ages",1497759
2020,"Essex","E10000012","Upper Tier Local Authority","Aged 65+",309912
2020,"Hertfordshire","E10000015","Upper Tier Local Authority","All Ages",1195672
2020,"Hertfordshire","E10000015","Upper Tier Local Authority","Aged 65+",205909
2020,"Norfolk","E10000020","Upper Tier Local Authority","All Ages",914039
2020,"Norfolk","E10000020","Upper Tier Local Authority","Aged 65+",225343
2020,"Suffolk","E10000029","Upper Tier Local Authority","All Ages",761246
2020,"Suffolk","E10000029","Upper Tier Local Authority","Aged 65+",181498
2020,"Camden","E09000007","Unitary Authority","All Ages",279516
2020,"Camden","E09000007","Unitary Authority","Aged 65+",33599
2020,"City of London","E09000001","Unitary Authority","All Ages",10938
2020,"City of London","E09000001","Unitary Authority","Aged 65+",1731
2020,"Hackney","E09000012","Unitary Authority","All Ages",280941
2020,"Hackney","E09000012","Unitary Authority","Aged 65+",22316
2020,"Hammersmith and Fulham","E09000013","Unitary Authority","All Ages",183544
2020,"Hammersmith and Fulham","E09000013","Unitary Authority","Aged 65+",20687
2020,"Haringey","E09000014","Unitary Authority","All Ages",266357
2020,"Haringey","E09000014","Unitary Authority","Aged 65+",28618
2020,"Islington","E09000019","Unitary Authority","All Ages",248115
2020,"Islington","E09000019","Unitary Authority","Aged 65+",21844
2020,"Kensington and Chelsea","E09000020","Unitary Authority","All Ages",156864
2020,"Kensington and Chelsea","E09000020","Unitary Authority","Aged 65+",25596
2020,"Lambeth","E09000022","Unitary Authority","All Ages",321813
2020,"Lambeth","E09000022","Unitary Authority","Aged 65+",28050
2020,"Lewisham","E09000023","Unitary Authority","All Ages",305309
2020,"Lewisham","E09000023","Unitary Authority","Aged 65+",29354
2020,"Newham","E09000025","Unitary Authority","All Ages",355266
2020,"Newham","E09000025","Unitary Authority","Aged 65+",27964
2020,"Southwark","E09000028","Unitary Authority","All Ages",320017
2020,"Southwark","E09000028","Unitary Authority","Aged 65+",27938
2020,"Tower Hamlets","E09000030","Unitary Authority","All Ages",331969
2020,"Tower Hamlets","E09000030","Unitary Authority","Aged 65+",21771
2020,"Wandsworth","E09000032","Unitary Authority","All Ages",329735
2020,"Wandsworth","E09000032","Unitary Authority","Aged 65+",32000
2020,"Westminster","E09000033","Unitary Authority","All Ages",269848
2020,"Westminster","E09000033","Unitary Authority","Aged 65+",33900
2020,"Barking and Dagenham","E09000002","Unitary Authority","All Ages",214107
2020,"Barking and Dagenham","E09000002","Unitary Authority","Aged 65+",19807
2020,"Barnet","E09000003","Unitary Authority","All Ages",399007
2020,"Barnet","E09000003","Unitary Authority","Aged 65+",58170
2020,"Bexley","E09000004","Unitary Authority","All Ages",249301
2020,"Bexley","E09000004","Unitary Authority","Aged 65+",41033
2020,"Brent","E09000005","Unitary Authority","All Ages",327753
2020,"Brent","E09000005","Unitary Authority","Aged 65+",42023
2020,"Bromley","E09000006","Unitary Authority","All Ages",332752
2020,"Bromley","E09000006","Unitary Authority","Aged 65+",58115
2020,"Croydon","E09000008","Unitary Authority","All Ages",388563
2020,"Croydon","E09000008","Unitary Authority","Aged 65+",54048
2020,"Ealing","E09000009","Unitary Authority","All Ages",340341
2020,"Ealing","E09000009","Unitary Authority","Aged 65+",45661
2020,"Enfield","E09000010","Unitary Authority","All Ages",333587
2020,"Enfield","E09000010","Unitary Authority","Aged 65+",44837
2020,"Greenwich","E09000011","Unitary Authority","All Ages",289034
2020,"Greenwich","E09000011","Unitary Authority","Aged 65+",30693
2020,"Harrow","E09000015","Unitary Authority","All Ages",252338
2020,"Harrow","E09000015","Unitary Authority","Aged 65+",40634
2020,"Havering","E09000016","Unitary Authority","All Ages",260651
2020,"Havering","E09000016","Unitary Authority","Aged 65+",46518
2020,"Hillingdon","E09000017","Unitary Authority","All Ages",309014
2020,"Hillingdon","E09000017","Unitary Authority","Aged 65+",42033
2020,"Hounslow","E09000018","Unitary Authority","All Ages",271767
2020,"Hounslow","E09000018","Unitary Authority","Aged 65+",34119
2020,"Kingston upon Thames","E09000021","Unitary Authority","All Ages",179142
2020,"Kingston upon Thames","E09000021","Unitary Authority","Aged 65+",25082
2020,"Merton","E09000024","Unitary Authority","All Ages",206453
2020,"Merton","E09000024","Unitary Authority","Aged 65+",26634
2020,"Redbridge","E09000026","Unitary Authority","All Ages",305658
2020,"Redbridge","E09000026","Unitary Authority","Aged 65+",39273
2020,"Richmond upon Thames","E09000027","Unitary Authority","All Ages",198141
2020,"Richmond upon Thames","E09000027","Unitary Authority","Aged 65+",31982
2020,"Sutton","E09000029","Unitary Authority","All Ages",207707
2020,"Sutton","E09000029","Unitary Authority","Aged 65+",31916
2020,"Waltham Forest","E09000031","Unitary Authority","All Ages",276940
2020,"Waltham Forest","E09000031","Unitary Authority","Aged 65+",30507
2020,"Bracknell Forest","E06000036","Unitary Authority","All Ages",124165
2020,"Bracknell Forest","E06000036","Unitary Authority","Aged 65+",18616
2020,"Brighton and Hove","E06000043","Unitary Authority","All Ages",291738
2020,"Brighton and Hove","E06000043","Unitary Authority","Aged 65+",39017
2020,"Isle of Wight","E06000046","Unitary Authority","All Ages",142296
2020,"Isle of Wight","E06000046","Unitary Authority","Aged 65+",40858
2020,"Medway","E06000035","Unitary Authority","All Ages",279142
2020,"Medway","E06000035","Unitary Authority","Aged 65+",45273
2020,"Milton Keynes","E06000042","Unitary Authority","All Ages",270203
2020,"Milton Keynes","E06000042","Unitary Authority","Aged 65+",39017
2020,"Portsmouth","E06000044","Unitary Authority","All Ages",214692
2020,"Portsmouth","E06000044","Unitary Authority","Aged 65+",30568
2020,"Reading","E06000038","Unitary Authority","All Ages",160337
2020,"Reading","E06000038","Unitary Authority","Aged 65+",20335
2020,"Slough","E06000039","Unitary Authority","All Ages",149577
2020,"Slough","E06000039","Unitary Authority","Aged 65+",15557
2020,"Southampton","E06000045","Unitary Authority","All Ages",252872
2020,"Southampton","E06000045","Unitary Authority","Aged 65+",33978
2020,"West Berkshire","E06000037","Unitary Authority","All Ages",158465
2020,"West Berkshire","E06000037","Unitary Authority","Aged 65+",31106
2020,"Windsor and Maidenhead","E06000040","Unitary Authority","All Ages",151273
2020,"Windsor and Maidenhead","E06000040","Unitary Authority","Aged 65+",28514
2020,"Wokingham","E06000041","Unitary Authority","All Ages",173945
2020,"Wokingham","E06000041","Unitary Authority","Aged 65+",30571
2020,"Buckinghamshire","E10000002","Upper Tier Local Authority","All Ages",547060
2020,"Buckinghamshire","E10000002","Upper Tier Local Authority","Aged 65+",104114
2020,"East Sussex","E10000011","Upper Tier Local Authority","All Ages",558852
2020,"East Sussex","E10000011","Upper Tier Local Authority","Aged 65+",146088
2020,"Hampshire","E10000014","Upper Tier Local Authority","All Ages",1389206
2020,"Hampshire","E10000014","Upper Tier Local Authority","Aged 65+",304560
2020,"Kent","E10000016","Upper Tier Local Authority","All Ages",1589057
2020,"Kent","E10000016","Upper Tier Local Authority","Aged 65+",322775
2020,"Oxfordshire","E10000025","Upper Tier Local Authority","All Ages",696880
2020,"Oxfordshire","E10000025","Upper Tier Local Authority","Aged 65+",130189
2020,"Surrey","E10000030","Upper Tier Local Authority","All Ages",1199870
2020,"Surrey","E10000030","Upper Tier Local Authority","Aged 65+",229900
2020,"West Sussex","E10000032","Upper Tier Local Authority","All Ages",867635
2020,"West Sussex","E10000032","Upper Tier Local Authority","Aged 65+",200968
2020,"Bath and North East Somerset","E06000022","Unitary Authority","All Ages",196357
2020,"Bath and North East Somerset","E06000022","Unitary Authority","Aged 65+",36991
2020,"Bournemouth, Christchurch and Poole","E06000058","Unitary Authority","All Ages",396989
2020,"Bournemouth, Christchurch and Poole","E06000058","Unitary Authority","Aged 65+",86843
2020,"Bristol, City of","E06000023","Unitary Authority","All Ages",465866
2020,"Bristol, City of","E06000023","Unitary Authority","Aged 65+",60274
2020,"Cornwall","E06000052","Unitary Authority","All Ages",573299
2020,"Cornwall","E06000052","Unitary Authority","Aged 65+",144840
2020,"Isles of Scilly","E06000053","Unitary Authority","All Ages",2226
2020,"Isles of Scilly","E06000053","Unitary Authority","Aged 65+",617
2020,"North Somerset","E06000024","Unitary Authority","All Ages",215574
2020,"North Somerset","E06000024","Unitary Authority","Aged 65+",52003
2020,"Plymouth","E06000026","Unitary Authority","All Ages",262839
2020,"Plymouth","E06000026","Unitary Authority","Aged 65+",48960
2020,"South Gloucestershire","E06000025","Unitary Authority","All Ages",287816
2020,"South Gloucestershire","E06000025","Unitary Authority","Aged 65+",54409
2020,"Swindon","E06000030","Unitary Authority","All Ages",222881
2020,"Swindon","E06000030","Unitary Authority","Aged 65+",36873
2020,"Torbay","E06000027","Unitary Authority","All Ages",136218
2020,"Torbay","E06000027","Unitary Authority","Aged 65+",37143
2020,"Wiltshire","E06000054","Unitary Authority","All Ages",504070
2020,"Wiltshire","E06000054","Unitary Authority","Aged 65+",110358
